"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"5","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLIArgs.java","3","627","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"1","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLICommands.java","3","12","This utility class has a non-private constructor","Design","UseUtilityClass"
"2","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLICommands.java","4","16","Unnecessary qualifier 'JadxCLICommands': 'register' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\LogHelper.java","3","12","This utility class has a non-private constructor","Design","UseUtilityClass"
"2","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\LogHelper.java","4","65","Unnecessary qualifier 'LogHelper': 'applyLogLevel' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\SingleClassMode.java","3","19","This utility class has a non-private constructor","Design","UseUtilityClass"
"2","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\SingleClassMode.java","2","44","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\SingleClassMode.java","2","80","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\SingleClassMode.java","2","83","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.cli.clst","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\clst\ConvertToClsSet.java","3","22","This utility class has a non-private constructor","Design","UseUtilityClass"
"1","jadx.cli.tools","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\tools\ConvertArscFile.java","3","28","This utility class has a non-private constructor","Design","UseUtilityClass"
"2","jadx.cli.tools","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\tools\ConvertArscFile.java","2","51","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","jadx.cli.tools","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\tools\ConvertArscFile.java","2","78","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","jadx.cli.tools","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\tools\ConvertArscFile.java","2","80","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"5","jadx.cli.tools","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\tools\ConvertArscFile.java","2","83","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","jadx.cli.tools","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\tools\ConvertArscFile.java","2","93","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\test\java\jadx\cli\JadxCLIArgsTest.java","2","96","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\test\java\jadx\cli\JadxCLIArgsTest.java","2","103","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\test\java\jadx\cli\TestInput.java","3","69","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.commons.app","C:\MetricsTest\jadx-master\jadx-commons\jadx-app-commons\src\main\java\jadx\commons\app\JadxCommonEnv.java","3","3","This utility class has a non-private constructor","Design","UseUtilityClass"
"2","jadx.commons.app","C:\MetricsTest\jadx-master\jadx-commons\jadx-app-commons\src\main\java\jadx\commons\app\JadxCommonEnv.java","3","15","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.commons.app","C:\MetricsTest\jadx-master\jadx-commons\jadx-app-commons\src\main\java\jadx\commons\app\JadxCommonFiles.java","3","12","This utility class has a non-private constructor","Design","UseUtilityClass"
"1","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\JadxArgs.java","3","177","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"1","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\JadxArgsValidator.java","1","12","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\JadxDecompiler.java","2","199","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\JavaClass.java","3","29","Avoid unused private fields such as 'LOG'.","Best Practices","UnusedPrivateField"
"2","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\JavaClass.java","3","96","This if statement can be replaced by `return {condition} && {thenBranch};`","Design","SimplifyBooleanReturns"
"1","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\JavaField.java","3","72","This if statement can be replaced by `return {condition} && {thenBranch};`","Design","SimplifyBooleanReturns"
"1","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\JavaMethod.java","3","114","This if statement can be replaced by `return {condition} && {thenBranch};`","Design","SimplifyBooleanReturns"
"1","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\JavaVariable.java","3","104","This if statement can be replaced by `return !{condition} || {elseBranch};`","Design","SimplifyBooleanReturns"
"1","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\ResourceType.java","4","33","Unnecessary qualifier 'ResourceType': 'values' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\ResourceType.java","3","52","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\ResourcesLoader.java","3","69","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"2","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\ResourcesLoader.java","3","76","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"3","jadx.api","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\ResourcesLoader.java","2","200","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.api.deobf.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\deobf\impl\AlwaysRename.java","1","10","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","jadx.api.deobf.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\deobf\impl\AlwaysRename.java","3","18","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","jadx.api.deobf.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\deobf\impl\AnyRenameCondition.java","3","22","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","jadx.api.deobf.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\deobf\impl\CombineDeobfConditions.java","1","15","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","jadx.api.deobf.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\deobf\impl\CombineDeobfConditions.java","3","36","Switch statements should be exhaustive, add a default case (or missing enum branches)","Best Practices","SwitchStmtsShouldHaveDefault"
"1","jadx.api.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\impl\AnnotatedCodeWriter.java","4","65","Useless parentheses.","Code Style","UselessParentheses"
"1","jadx.api.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\impl\SimpleCodeWriter.java","3","22","StringBuffers can grow quite a lot, and so may become a source of memory leak (if the owning class has a long life time).","Best Practices","AvoidStringBufferField"
"1","jadx.api.impl.passes","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\impl\passes\DecompilePassWrapper.java","3","32","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"2","jadx.api.impl.passes","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\impl\passes\DecompilePassWrapper.java","2","33","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","jadx.api.impl.passes","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\impl\passes\DecompilePassWrapper.java","3","41","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"4","jadx.api.impl.passes","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\impl\passes\DecompilePassWrapper.java","2","42","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"5","jadx.api.impl.passes","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\impl\passes\DecompilePassWrapper.java","3","51","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"6","jadx.api.impl.passes","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\impl\passes\DecompilePassWrapper.java","2","52","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.api.impl.passes","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\impl\passes\PreparePassWrapper.java","2","31","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.api.metadata.annotations","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\metadata\annotations\NodeDeclareRef.java","3","40","This if statement can be replaced by `return !{condition} || {elseBranch};`","Design","SimplifyBooleanReturns"
"1","jadx.api.metadata.annotations","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\metadata\annotations\NodeEnd.java","1","5","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.api.metadata.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\metadata\impl\CodeMetadataStorage.java","1","19","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","jadx.api.metadata.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\metadata\impl\CodeMetadataStorage.java","3","102","Switch statements should be exhaustive, add a default case (or missing enum branches)","Best Practices","SwitchStmtsShouldHaveDefault"
"1","jadx.api.plugins","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\JadxPluginInfoBuilder.java","1","7","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.api.plugins.events.types","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\events\types\ReloadProject.java","1","7","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.api.plugins.events.types","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\events\types\ReloadSettingsWindow.java","1","7","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.api.plugins.options.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\options\impl\BaseOptionsParser.java","3","31","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"2","jadx.api.plugins.options.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\options\impl\BaseOptionsParser.java","3","31","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"3","jadx.api.plugins.options.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\options\impl\BaseOptionsParser.java","3","34","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"4","jadx.api.plugins.options.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\options\impl\BaseOptionsParser.java","3","34","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.api.plugins.options.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\options\impl\BasePluginOptionsBuilder.java","3","116","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"2","jadx.api.plugins.options.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\options\impl\BasePluginOptionsBuilder.java","3","116","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"3","jadx.api.plugins.options.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\options\impl\BasePluginOptionsBuilder.java","3","119","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"4","jadx.api.plugins.options.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\options\impl\BasePluginOptionsBuilder.java","3","119","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.api.plugins.pass.types","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\pass\types\JadxPassType.java","3","15","This if statement can be replaced by `return !{condition} || {elseBranch};`","Design","SimplifyBooleanReturns"
"1","jadx.api.plugins.resources","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\resources\IResContainerFactory.java","3","23","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","jadx.api.plugins.resources","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\resources\IResTableParserProvider.java","3","20","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","jadx.api.plugins.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\utils\CommonFileUtils.java","3","16","This utility class has a non-private constructor","Design","UseUtilityClass"
"2","jadx.api.plugins.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\utils\CommonFileUtils.java","3","105","This if statement can be replaced by `return !{condition} || {elseBranch};`","Design","SimplifyBooleanReturns"
"1","jadx.api.plugins.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\utils\Utils.java","3","17","This utility class has a non-private constructor","Design","UseUtilityClass"
"1","jadx.api.plugins.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\utils\ZipSecurity.java","1","20","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","jadx.api.plugins.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\utils\ZipSecurity.java","3","86","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","jadx.api.plugins.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\utils\ZipSecurity.java","2","103","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","jadx.api.plugins.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\utils\ZipSecurity.java","3","119","Ensure that resources like this InputStream object are closed after use","Error Prone","CloseResource"
"5","jadx.api.plugins.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\plugins\utils\ZipSecurity.java","3","159","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"1","jadx.api.usage.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\usage\impl\EmptyUsageInfoCache.java","3","18","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"2","jadx.api.usage.impl","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\usage\impl\EmptyUsageInfoCache.java","3","22","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","jadx.api.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\api\utils\CodeUtils.java","3","3","This utility class has a non-private constructor","Design","UseUtilityClass"
"1","jadx.core","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\Consts.java","1","3","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.core","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\Jadx.java","1","77","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","jadx.core","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\Jadx.java","3","255","Singleton is not thread safe","Multithreading","NonThreadSafeSingleton"
"3","jadx.core","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\Jadx.java","3","262","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.core","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\ProcessClass.java","3","88","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"2","jadx.core","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\ProcessClass.java","3","123","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"3","jadx.core","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\ProcessClass.java","2","133","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.core.clsp","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\clsp\ClsSet.java","3","180","Avoid unused private methods such as 'getCls(String, Map<String, ClspClass>)'.","Best Practices","UnusedPrivateMethod"
"2","jadx.core.clsp","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\clsp\ClsSet.java","2","225","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","jadx.core.clsp","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\clsp\ClsSet.java","1","394","Return an empty collection rather than null.","Error Prone","ReturnEmptyCollectionRatherThanNull"
"1","jadx.core.clsp","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\clsp\ClspClassSource.java","4","20","Unnecessary qualifier 'ClspClassSource': 'values' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\AnnotationGen.java","3","95","Empty if statement","Code Style","EmptyControlStatement"
"2","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\AnnotationGen.java","3","95","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\ClassGen.java","3","682","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\CodeGen.java","1","13","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\CodeGen.java","3","52","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"1","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\ConditionGen.java","1","25","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\InsnGen.java","3","71","Avoid unused private fields such as 'LOG'.","Best Practices","UnusedPrivateField"
"2","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\InsnGen.java","3","192","Switch statements should be exhaustive, add a default case (or missing enum branches)","Best Practices","SwitchStmtsShouldHaveDefault"
"3","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\InsnGen.java","3","845","Switch statements should be exhaustive, add a default case (or missing enum branches)","Best Practices","SwitchStmtsShouldHaveDefault"
"1","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\MethodGen.java","3","270","Switch statements should be exhaustive, add a default case (or missing enum branches)","Best Practices","SwitchStmtsShouldHaveDefault"
"2","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\MethodGen.java","2","492","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\NameGen.java","3","205","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"2","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\NameGen.java","3","224","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"3","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\NameGen.java","3","226","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","jadx.core.codegen","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\TypeGen.java","1","16","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.core.codegen.json","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\json\JsonMappingGen.java","1","30","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","jadx.core.codegen.json","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\json\JsonMappingGen.java","2","49","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.core.codegen.utils","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\codegen\utils\CodeGenUtils.java","1","26","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.core.deobf","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\DeobfAliasProvider.java","3","99","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.core.deobf","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\DeobfPresets.java","1","34","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","jadx.core.deobf","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\DeobfPresets.java","2","76","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","jadx.core.deobf","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\DeobfPresets.java","3","90","Switch statements should be exhaustive, add a default case (or missing enum branches)","Best Practices","SwitchStmtsShouldHaveDefault"
"4","jadx.core.deobf","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\DeobfPresets.java","2","110","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.core.deobf","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\NameMapper.java","1","12","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","jadx.core.deobf","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\NameMapper.java","3","120","Switch statements should be exhaustive, add a default case (or missing enum branches)","Best Practices","SwitchStmtsShouldHaveDefault"
"1","jadx.core.deobf","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\SaveDeobfMapping.java","2","45","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","jadx.core.deobf.conditions","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\conditions\AbstractDeobfCondition.java","3","13","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","jadx.core.deobf.conditions","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\conditions\ExcludeAndroidRClass.java","3","23","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","jadx.core.deobf.conditions","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\conditions\ExcludePackageWithTLDNames.java","1","20","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.core.deobf.conditions","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\deobf\conditions\JadxRenameConditions.java","3","10","This utility class has a non-private constructor","Design","UseUtilityClass"
"1","jadx.core.dex.attributes.nodes","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\dex\attributes\nodes\EdgeInsnAttr.java","1","12","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","jadx.core.dex.attributes.nodes","C:\MetricsTest\jadx-master\jadx-core\src\main\java\jadx\core\dex\attributes\nodes\LoopInfo.java","3","100","Use equals() to compare object references.","Error Prone","CompareObjectsWithEquals"
